id,sequence,code,name,l10n_ar_letter,report_name,internal_type,doc_code_prefix,country_id/id,purchase_aliquots
dc_a_f,10,1,FACTURASA,A,FACTURA,invoice,FA-A,base.ar,not_zero
dc_a_nd,20,2,NOTASDEDEBITOA,A,NOTADEDEBITO,debit_note,ND-A,base.ar,not_zero
dc_a_nc,30,3,NOTASDECREDITOA,A,NOTADECREDITO,credit_note,NC-A,base.ar,not_zero
dc_a_r,40,4,RECIBOSA,A,RECIBO,invoice,RE-A,base.ar,not_zero
dc_a_nvc,50,5,NOTASDEVENTAALCONTADOA,A,,invoice,NVC-A,base.ar,not_zero
dc_b_f,60,6,FACTURASB,B,FACTURA,invoice,FA-B,base.ar,zero
dc_b_nd,70,7,NOTASDEDEBITOB,B,NOTADEDEBITO,debit_note,ND-B,base.ar,zero
dc_b_nc,80,8,NOTASDECREDITOB,B,NOTADECREDITO,credit_note,NC-B,base.ar,zero
dc_b_r,90,9,RECIBOSB,B,RECIBO,invoice,RE-B,base.ar,zero
dc_b_nvc,100,10,NOTASDEVENTAALCONTADOB,B,,invoice,NVC-B,base.ar,zero
dc_c_f,110,11,FACTURASC,C,FACTURA,invoice,FA-C,base.ar,zero
dc_c_nd,120,12,NOTASDEDEBITOC,C,NOTADEDEBITO,debit_note,ND-C,base.ar,zero
dc_c_nc,130,13,NOTASDECREDITOC,C,NOTADECREDITO,credit_note,NC-C,base.ar,zero
dc_aduana,140,14,DOCUMENTOADUANERO,,,,,base.ar,
dc_c_r,150,15,RECIBOSC,C,RECIBO,invoice,RE-C,base.ar,zero
dc_c_nvc,160,16,NOTASDEVENTAALCONTADOC,C,,invoice,NVC-C,base.ar,zero
dc_e_f,170,19,FACTURASDEEXPORTACION,E,FACTURA,invoice,FA-E,base.ar,not_zero
dc_e_nd,180,20,NOTASDEDEBITOPOROPERACIONESCONELEXTERIOR,E,NOTADEDEBITO,debit_note,ND-E,base.ar,not_zero
dc_e_nc,190,21,NOTASDECREDITOPOROPERACIONESCONELEXTERIOR,E,NOTADECREDITO,credit_note,NC-E,base.ar,not_zero
dc_e_fs,200,22,FACTURAS-PERMISOEXPORTACIONSIMPLIFICADO-DTO.855/97,E,,,,base.ar,not_zero
dc_usados,210,30,COMPROBANTESDECOMPRADEBIENESUSADOS,,,invoice,CBU,base.ar,not_zero
dc_mandato,220,31,MANDATO-CONSIGNACION,,,,,base.ar,
dc_reciclado,230,32,COMPROBANTESPARARECICLARMATERIALES,,,invoice,CRM,base.ar,not_zero
dc_a_rg1415,240,34,"COMPROBANTESADELAPARTADOA,INC.F),R.G.Nº1415",A,,invoice,CA-A,base.ar,not_zero
dc_b_rg1415,250,35,"COMPROBANTESBDELANEXOI,APARTADOA,INC.F),R.G.Nº1415",B,,invoice,CA-B,base.ar,zero
dc_c_rg1415,260,36,"COMPROBANTESCDELANEXOI,APARTADOA,INC.F),R.G.Nº1415",C,,invoice,CA-C,base.ar,zero
dc_nd_rg1415,270,37,NOTASDEDEBITOODOCUMENTOEQUIVALENTEQUECUMPLANCONLAR.G.Nº1415,,,debit_note,ND1415,base.ar,not_zero
dc_nc_rg1415,280,38,NOTASDECREDITOODOCUMENTOEQUIVALENTEQUECUMPLANCONLAR.G.Nº1415,,,credit_note,NC1415,base.ar,not_zero
dc_a_o_rg1415,290,39,OTROSCOMPROBANTESAQUECUMPLENCONLAR.G.Nº1415,A,,invoice,OC-A,base.ar,not_zero
dc_b_o_rg1415,300,40,OTROSCOMPROBANTESBQUECUMPLANCONLAR.G.Nº1415,B,,invoice,OC-B,base.ar,zero
dc_c_o_rg1415,310,41,OTROSCOMPROBANTESCQUECUMPLANCONLAR.G.Nº1415,C,,invoice,OC-C,base.ar,zero
dc_a_rf,320,50,RECIBOFACTURAAREGIMENDEFACTURADECREDITO,A,,,,base.ar,not_zero
dc_m_f,330,51,FACTURASM,M,FACTURA,invoice,FA-M,base.ar,not_zero
dc_m_nd,340,52,NOTASDEDEBITOM,M,NOTADEDEBITO,debit_note,ND-M,base.ar,not_zero
dc_m_nc,350,53,NOTASDECREDITOM,M,NOTADECREDITO,credit_note,NC-M,base.ar,not_zero
dc_m_r,360,54,RECIBOSM,M,RECIBO,invoice,RE-M,base.ar,not_zero
dc_m_nvc,370,55,NOTASDEVENTAALCONTADOM,M,,invoice,NVC-M,base.ar,not_zero
dc_m_rg1415,380,56,"COMPROBANTESMDELANEXOI,APARTADOA,INC.F),R.G.Nº1415",M,,invoice,CA-M,base.ar,not_zero
dc_m_o_rg1415,390,57,OTROSCOMPROBANTESMQUECUMPLANCONLAR.G.Nº1415,M,,invoice,OC-M,base.ar,not_zero
dc_m_cvl,400,58,CUENTASDEVENTAYLIQUIDOPRODUCTOM,M,,invoice,LP-M,base.ar,not_zero
dc_m_l,410,59,LIQUIDACIONESM,M,LIQUIDACION,invoice,LI-M,base.ar,not_zero
dc_a_cvl,420,60,CUENTASDEVENTAYLIQUIDOPRODUCTOA,A,CTAVTALIQUIDOPRODUCTO,invoice,LP-A,base.ar,not_zero
dc_b_cvl,430,61,CUENTASDEVENTAYLIQUIDOPRODUCTOB,B,CTAVTALIQUIDOPRODUCTO,invoice,LP-B,base.ar,zero
dc_a_l,440,63,LIQUIDACIONESA,A,LIQUIDACION,invoice,LI-A,base.ar,not_zero
dc_b_l,450,64,LIQUIDACIONESB,B,LIQUIDACION,invoice,LI-B,base.ar,zero
dc_nc,460,65,"NOTASDECREDITODECOMPROBANTESCONCOD.34,39,58,59,60,63,96,97,",,,,,base.ar,
dc_desp_imp,470,66,DESPACHODEIMPORTACION,,,invoice,DI,base.ar,not_zero
dc_imp_serv,480,67,IMPORTACIONDESERVICIOS,,,,,base.ar,
dc_c_l,490,68,LIQUIDACIONC,C,LIQUIDACION,invoice,LI-C,base.ar,not_zero
dc_rfc,500,70,RECIBOSFACTURADECREDITO,,,,,base.ar,not_zero
dc_cfcp,510,71,CREDITOFISCALPORCONTRIBUCIONESPATRONALES,,,,,base.ar,
dc_f1116,520,73,FORMULARIO1116RT,,,,,base.ar,
dc_cptag,530,74,CARTADEPORTEPARAELTRANSPORTEAUTOMOTORPARAGRANOS,,,,,base.ar,
dc_cptfg,540,75,CARTADEPORTEPARAELTRANSPORTEFERROVIARIOPARAGRANOS,,,,,base.ar,
dc_zeta,550,80,INFORMEDIARIODECIERRE(ZETA)-CONTROLADORESFISCALES,,,,,base.ar,
dc_a_t,560,81,TIQUEFACTURAA,A,TIQUEFACTURA,invoice,TF-A,base.ar,not_zero
dc_b_t,570,82,TIQUE-FACTURAB,B,TIQUEFACTURA,invoice,TF-B,base.ar,zero
dc_t,580,83,TIQUE,,TIQUE,invoice,TI-X,base.ar,zero
dc_sp_c,590,84,COMPROBANTEFACTURADESERVICIOSPUBLICOSINTERESESFINANCIEROS,,,,,base.ar,
dc_sp_nc,600,85,NOTADECREDITOSERVICIOSPUBLICOSNOTADECREDITOCONTROLADORESFISCALES,,,,,base.ar,
dc_sp_nd,610,86,NOTADEDEBITOSERVICIOSPUBLICOS,,,,,base.ar,
dc_oc_se,620,87,OTROSCOMPROBANTES-SERVICIOSDELEXTERIOR,,,,,base.ar,
dc_oc_c,630,88,REMITOELECTRONICO,,,,,base.ar,
dc_oc_nd,640,89,RESUMENDEDATOS,,,,,base.ar,
dc_oc_nc,650,90,OTROSCOMPROBANTES-DOCUMENTOSEXCEPTUADOS-NOTASDECREDITO,,,credit_note,OC,base.ar,not_zero
dc_r_r,660,91,REMITOSR,R,,,,base.ar,
dc_ac_inc_df,670,92,AJUSTESCONTABLESQUEINCREMENTANELDEBITOFISCAL,,,,,base.ar,
dc_ac_dis_df,680,93,AJUSTESCONTABLESQUEDISMINUYENELDEBITOFISCAL,,,,,base.ar,
dc_ac_inc_cf,690,94,AJUSTESCONTABLESQUEINCREMENTANELCREDITOFISCAL,,,,,base.ar,
dc_ac_dis_cf,700,95,AJUSTESCONTABLESQUEDISMINUYENELCREDITOFISCAL,,,,,base.ar,
dc_f1116b,710,96,FORMULARIO1116B,,,,,base.ar,
dc_f1116c,720,97,FORMULARIO1116C,,,,,base.ar,
dc_oc_ncrg3419,730,99,OTROSCOMPROBANTESQUENOCUMPLENOESTANEXCEPTUADOSDELAR.G.Nº1415YSUSMODIF,,,invoice,OC-X,base.ar,not_zero
dc_aa_dj_pos,740,101,AJUSTEANUALPROVENIENTEDELADJDELIVAPOSITIVO,,,,,base.ar,
dc_aa_dj_neg,750,102,AJUSTEANUALPROVENIENTEDELADJDELIVANEGATIVO,,,,,base.ar,
dc_na,760,103,NOTADEASIGNACION,,,,,base.ar,
dc_nca,770,104,NOTADECREDITODEASIGNACION,,,,,base.ar,
dc_remito_x,790,94,REMITOSX,X,REMITO,,RM-X,base.ar,
dc_liq_s_a,800,17,LIQUIDACIONDESERVICIOSPUBLICOSCLASEA,A,,invoice,LS-A,base.ar,not_zero
dc_liq_s_b,810,18,LIQUIDACIONDESERVICIOSPUBLICOSCLASEB,B,,invoice,LS-B,base.ar,zero
dc_com_a_m,820,23,"COMPROBANTES""A""DECOMPRAPRIMARIAPARAELSECTORPESQUEROMARITIMO",,,,,base.ar,
dc_con_a_m,830,24,"COMPROBANTES""A""DECONSIGNACIONPRIMARIAPARAELSECTORPESQUEROMARITIMO",,,,,base.ar,
dc_com_b_m,840,25,"COMPROBANTES""B""DECOMPRAPRIMARIAPARAELSECTORPESQUEROMARITIMO",,,,,base.ar,
dc_con_b_m,850,26,"COMPROBANTES""B""DECONSIGNACIONPRIMARIAPARAELSECTORPESQUEROMARITIMO",,,,,base.ar,
dc_liq_uci_a,860,27,LIQUIDACIONUNICACOMERCIALIMPOSITIVACLASEA,A,,invoice,LU-A,base.ar,not_zero
dc_liq_uci_b,870,28,LIQUIDACIONUNICACOMERCIALIMPOSITIVACLASEB,B,,invoice,LU-B,base.ar,zero
dc_liq_uci_c,880,29,LIQUIDACIONUNICACOMERCIALIMPOSITIVACLASEC,C,,invoice,LU-C,base.ar,zero
dc_liq_prim_gr,890,33,LIQUIDACIONPRIMARIADEGRANOS,,,invoice,LPG,base.ar,not_zero
dc_nc_liq_uci_a,900,43,NOTADECREDITOLIQUIDACIONUNICACOMERCIALIMPOSITIVACLASEB,B,,credit_note,NCLU-B,base.ar,zero
dc_nc_liq_uci_b,910,44,NOTADECREDITOLIQUIDACIONUNICACOMERCIALIMPOSITIVACLASEC,C,,credit_note,NCLU-C,base.ar,zero
dc_nd_liq_uci_a,920,45,NOTADEDEBITOLIQUIDACIONUNICACOMERCIALIMPOSITIVACLASEA,A,,debit_note,NDLU-A,base.ar,not_zero
dc_nd_liq_uci_b,930,46,NOTADEDEBITOLIQUIDACIONUNICACOMERCIALIMPOSITIVACLASEB,B,,debit_note,NDLU-B,base.ar,zero
dc_nd_liq_uci_c,940,47,NOTADEDEBITOLIQUIDACIONUNICACOMERCIALIMPOSITIVACLASEC,C,,debit_note,NDLU-C,base.ar,zero
dc_nc_liq_uci_c,950,48,NOTADECREDITOLIQUIDACIONUNICACOMERCIALIMPOSITIVACLASEA,A,,credit_note,NCLU-A,base.ar,not_zero
dc_bs_no_reg,960,49,COMPROBANTESDECOMPRADEBIENESNOREGISTRABLESACONSUMIDORESFINALES,,,invoice,BNR,base.ar,not_zero
dc_t_nc,970,110,TIQUENOTADECREDITO,,TIQUENOTADECREDITO,credit_note,TC-X,base.ar,not_zero
dc_t_c,980,111,TIQUEFACTURAC,C,TIQUEFACTURA,invoice,TF-C,base.ar,zero
dc_t_nc_a,990,112,TIQUENOTADECREDITOA,A,TIQUENOTADECREDITO,credit_note,TN-A,base.ar,not_zero
dc_t_nc_b,1000,113,TIQUENOTADECREDITOB,B,TIQUENOTADECREDITO,credit_note,TN-B,base.ar,zero
dc_t_nc_c,1010,114,TIQUENOTADECREDITOC,C,TIQUENOTADECREDITO,credit_note,TN-C,base.ar,zero
dc_t_nd_a,1020,115,TIQUENOTADEDEBITOA,A,TIQUENOTADEDEBITO,debit_note,TD-A,base.ar,not_zero
dc_t_nd_b,1030,116,TIQUENOTADEDEBITOB,B,TIQUENOTADEDEBITO,debit_note,TD-B,base.ar,zero
dc_t_nd_c,1040,117,TIQUENOTADEDEBITOC,C,TIQUENOTADEDEBITO,debit_note,TD-C,base.ar,zero
dc_t_m,1050,118,TIQUEFACTURAM,M,FACTURA,invoice,TF-M,base.ar,not_zero
dc_t_nc_m,1060,119,TIQUENOTADECREDITOM,M,NOTADECREDITO,credit_note,TC-M,base.ar,not_zero
dc_t_nd_m,1070,120,TIQUENOTADEDEBITOM,M,NOTADEDEBITO,debit_note,TD-M,base.ar,not_zero
dc_liq_sec_gr,1080,331,LIQUIDACIONSECUNDARIADEGRANOS,,,invoice,LSG,base.ar,not_zero
dc_cert_ele_gr,1090,332,CERTIFICACIONELECTRONICA(GRANOS),,,,,base.ar,
dc_fce_a_f,1100,201,FACTURADECREDITOELECTRONICAMiPyMEs(FCE)A,A,FACTURADECREDITOELECTRONICA,invoice,FCE-A,base.ar,not_zero
dc_fce_a_nd,1110,202,NOTADEDEBITOELECTRONICAMiPyMEs(FCE)A,A,NOTADEDEBITOELECTRONICA,debit_note,NDE-A,base.ar,not_zero
dc_fce_a_nc,1120,203,NOTADECREDITOELECTRONICAMiPyMEs(FCE)A,A,NOTADECREDITOELECTRONICA,credit_note,NCE-A,base.ar,not_zero
dc_fce_b_f,1130,206,FACTURADECREDITOELECTRONICAMiPyMEs(FCE)B,B,FACTURADECREDITOELECTRONICA,invoice,FCE-B,base.ar,zero
dc_fce_b_nd,1140,207,NOTADEDEBITOELECTRONICAMiPyMEs(FCE)B,B,NOTADEDEBITOELECTRONICA,debit_note,NDE-B,base.ar,zero
dc_fce_b_nc,1150,208,NOTADECREDITOELECTRONICAMiPyMEs(FCE)B,B,NOTADECREDITOELECTRONICA,credit_note,NCE-B,base.ar,zero
dc_fce_c_f,1160,211,FACTURADECREDITOELECTRONICAMiPyMEs(FCE)C,C,FACTURADECREDITOELECTRONICA,invoice,FCE-C,base.ar,zero
dc_fce_c_nd,1170,212,NOTADEDEBITOELECTRONICAMiPyMEs(FCE)C,C,NOTADEDEBITOELECTRONICA,debit_note,NDE-C,base.ar,zero
dc_fce_c_nc,1180,213,NOTADECREDITOELECTRONICAMiPyMEs(FCE)C,C,NOTADECREDITOELECTRONICA,credit_note,NCE-D,base.ar,zero
fa_exterior,195,,FACTURASYCOMPROBANTESDELEXTERIOR,I,,invoice,FA-I,base.ar,zero
nc_exterior,196,,NOTASDECREDITOYREEMBOLSOSDELEXTERIOR,I,,credit_note,NC-I,base.ar,zero
dc_liq_cpst_a,1190,150,LIQUIDACIÓNDECOMPRAPRIMARIAPARAELSECTORTABACALEROA,A,,invoice,LCT-A,base.ar,not_zero
dc_liq_cpst_b,1200,151,LIQUIDACIÓNDECOMPRAPRIMARIAPARAELSECTORTABACALEROB,B,,invoice,LCT-B,base.ar,zero
dc_cvl_sa_a,1210,157,CUENTADEVENTAYLÍQUIDOPRODUCTOA–SECTORAVÍCOLA,A,,invoice,CVA-A,base.ar,not_zero
dc_cvl_sa_b,1220,158,CUENTADEVENTAYLÍQUIDOPRODUCTOB–SECTORAVÍCOLA,B,,invoice,CVA-B,base.ar,zero
dc_liq_c_sa_a,1230,159,LIQUIDACIÓNDECOMPRAA–SECTORAVÍCOLA,A,,invoice,LCA-A,base.ar,not_zero
dc_liq_c_sa_b,1240,160,LIQUIDACIÓNDECOMPRAB–SECTORAVÍCOLA,B,,invoice,LCA-B,base.ar,zero
dc_liq_cd_sa_a,1250,161,LIQUIDACIÓNDECOMPRADIRECTAA-SECTORAVÍCOLA,A,,invoice,LCDA-A,base.ar,not_zero
dc_liq_cd_sa_b,1260,162,LIQUIDACIÓNDECOMPRADIRECTAB-SECTORAVÍCOLA,B,,invoice,LCDA-B,base.ar,zero
dc_liq_cd_sa_c,1270,163,LIQUIDACIÓNDECOMPRADIRECTAC-SECTORAVÍCOLA,C,,invoice,LCDA-C,base.ar,zero
dc_liq_vd_sa_a,1280,164,LIQUIDACIÓNDEVENTADIRECTAA-SECTORAVÍCOLA,A,,invoice,LVDA-A,base.ar,not_zero
dc_liq_vd_sa_b,1290,165,LIQUIDACIÓNDEVENTADIRECTAB-SECTORAVÍCOLA,B,,invoice,LVDA-B,base.ar,zero
dc_liq_ccpc_a,1300,166,LIQUIDACIÓNDECONTRATACIÓNDECRIANZAPOLLOSPARRILLEROSA,A,,invoice,LCCP-A,base.ar,not_zero
dc_liq_ccpc_b,1310,167,LIQUIDACIÓNDECONTRATACIÓNDECRIANZAPOLLOSPARRILLEROSB,B,,invoice,LCCP-B,base.ar,zero
dc_liq_ccpc_c,1320,168,LIQUIDACIÓNDECONTRATACIÓNDECRIANZAPOLLOSPARRILLEROSC,C,,invoice,LCCP-C,base.ar,zero
dc_liq_cpc_a,1330,169,LIQUIDACIÓNDECRIANZAPOLLOSPARRILLEROSA,A,,invoice,LCPP-A,base.ar,not_zero
dc_liq_cpc_b,1340,170,LIQUIDACIÓNDECRIANZAPOLLOSPARRILLEROSB,B,,invoice,LCPP-B,base.ar,zero
dc_liq_cca_a,1350,171,LIQUIDACIÓNDECOMPRADECAÑADEAZÚCARA,A,,invoice,LCCA-A,base.ar,not_zero
dc_liq_cca_b,1360,172,LIQUIDACIÓNDECOMPRADECAÑADEAZÚCARB,B,,invoice,LCCA-B,base.ar,zero
dc_cvl_sp_a,1370,180,CUENTADEVENTAYLÍQUIDOPRODUCTOA-SECTORPECUARIO,A,,invoice,CVP-A,base.ar,not_zero
dc_cvl_sp_b,1380,182,CUENTADEVENTAYLÍQUIDOPRODUCTOB-SECTORPECUARIO,B,,invoice,CVP-B,base.ar,zero
dc_liq_c_sp_a,1390,183,LIQUIDACIÓNDECOMPRAA-SECTORPECUARIO,A,,invoice,LCP-A,base.ar,not_zero
dc_liq_c_sp_b,1400,185,LIQUIDACIÓNDECOMPRAB-SECTORPECUARIO,B,,invoice,LCP-B,base.ar,zero
dc_liq_cd_sp_a,1410,186,LIQUIDACIÓNDECOMPRADIRECTAA-SECTORPECUARIO,A,,invoice,LCDP-A,base.ar,not_zero
dc_liq_cd_sp_b,1420,188,LIQUIDACIÓNDECOMPRADIRECTAB-SECTORPECUARIO,B,,invoice,LCDP-B,base.ar,zero
dc_liq_cd_sp_c,1430,189,LIQUIDACIÓNDECOMPRADIRECTAC-SECTORPECUARIO,C,,invoice,LCDP-C,base.ar,zero
dc_liq_vd_sp_a,1440,190,LIQUIDACIÓNDEVENTADIRECTAA-SECTORPECUARIO,A,,invoice,LVDP-A,base.ar,not_zero
dc_liq_vd_sp_b,1450,191,LIQUIDACIÓNDEVENTADIRECTAB-SECTORPECUARIO,B,,invoice,LVDP-B,base.ar,zero
