id,code,name,user_type_id/id,reconcile,tag_ids/id,chart_template_id:id
il_account_100100,100100,Landandbuildings,account.data_account_type_fixed_assets,FALSE,,il_chart_template
il_account_100200,100200,Machineryandequipment,account.data_account_type_fixed_assets,FALSE,,il_chart_template
il_account_100300,100300,Vehicles,account.data_account_type_fixed_assets,FALSE,,il_chart_template
il_account_100400,100400,Otherproperty,account.data_account_type_fixed_assets,FALSE,,il_chart_template
il_account_101110,101110,StockValuationaccount,account.data_account_type_current_assets,FALSE,,il_chart_template
il_account_101120,101120,StockInterimAccount(Received),account.data_account_type_current_assets,FALSE,,il_chart_template
il_account_101130,101130,StockInterimAccount(Delivered),account.data_account_type_current_assets,FALSE,,il_chart_template
il_account_101140,101140,Inventory-Rawmaterials,account.data_account_type_current_assets,FALSE,,il_chart_template
il_account_101150,101150,Inventory-Workinprogress,account.data_account_type_current_assets,FALSE,,il_chart_template
il_account_101160,101160,Inventory-Finishedgoods,account.data_account_type_current_assets,FALSE,,il_chart_template
il_account_101200,101200,AccountReceivable,account.data_account_type_receivable,TRUE,,il_chart_template
il_account_101201,101201,AccountReceivable(POS),account.data_account_type_receivable,TRUE,,il_chart_template
il_account_101250,101250,Allowanceforcreditlosses,account.data_account_type_current_assets,TRUE,,il_chart_template
il_account_101300,101300,Incometaxwithheld-customers,account.data_account_type_current_assets,FALSE,,il_chart_template
il_account_101410,101410,BankDeposit,account.data_account_type_liquidity,FALSE,,il_chart_template
il_account_101420,101420,Cheques,account.data_account_type_liquidity,FALSE,,il_chart_template
il_account_101430,101430,FinancialAssets,account.data_account_type_liquidity,FALSE,,il_chart_template
il_account_101440,101440,PettyCash,account.data_account_type_liquidity,FALSE,,il_chart_template
il_account_101800,101800,VAT-Inputs,account.data_account_type_current_assets,FALSE,,il_chart_template
il_account_101810,101810,VAT-FixedAssets,account.data_account_type_current_assets,FALSE,,il_chart_template
il_account_101820,101820,VAT-ImportTransactions,account.data_account_type_current_assets,FALSE,,il_chart_template
il_account_101830,101830,VAT-PAImportTransactions,account.data_account_type_current_assets,FALSE,,il_chart_template
il_account_102110,102110,Landandbuildingsdepreciation,account.data_account_type_non_current_assets,FALSE,,il_chart_template
il_account_102120,102120,Machineryandequipmentdepreciation,account.data_account_type_non_current_assets,FALSE,,il_chart_template
il_account_102130,102130,Vehiclesdepreciation,account.data_account_type_non_current_assets,FALSE,,il_chart_template
il_account_102140,102140,Otherpropertydepreciation,account.data_account_type_non_current_assets,FALSE,,il_chart_template
il_account_102150,102150,Accumulateddepreciation,account.data_account_type_non_current_assets,FALSE,,il_chart_template
il_account_102200,102200,IntangibleAssets,account.data_account_type_non_current_assets,FALSE,,il_chart_template
il_account_103000,103000,Prepayments,account.data_account_type_current_assets,FALSE,,il_chart_template
il_account_111000,111000,CurrentLiabilities,account.data_account_type_current_liabilities,FALSE,,il_chart_template
il_account_111100,111100,AccountPayable,account.data_account_type_payable,TRUE,,il_chart_template
il_account_111110,111110,VATSales,account.data_account_type_current_liabilities,FALSE,,il_chart_template
il_account_111120,111120,VATPASales,account.data_account_type_current_liabilities,FALSE,,il_chart_template
il_account_111200,111200,Incometaxwithheld-vendors,account.data_account_type_current_liabilities,FALSE,account_tag_retention_tax_vendor_account,il_chart_template
il_account_111210,111210,Incometaxwithheld-employees,account.data_account_type_current_liabilities,FALSE,,il_chart_template
il_account_111220,111220,Incometaxwithheld-dividends,account.data_account_type_current_liabilities,FALSE,account_tag_retention_tax_dividend_account,il_chart_template
il_account_111300,111300,ReserveandProfit/LossAccount,account.data_account_type_equity,FALSE,,il_chart_template
il_account_111400,111400,Creditcards,account.data_account_type_current_liabilities,FALSE,,il_chart_template
il_account_111450,111450,Shorttermloans,account.data_account_type_current_liabilities,FALSE,,il_chart_template
il_account_111460,111460,InterestPayable,account.data_account_type_current_liabilities,TRUE,,il_chart_template
il_account_111500,111500,Employeeswages,account.data_account_type_current_liabilities,TRUE,,il_chart_template
il_account_111550,111550,EmployeesBenefits,account.data_account_type_current_liabilities,TRUE,,il_chart_template
il_account_111600,111600,DeferredRevenue,account.data_account_type_non_current_liabilities,FALSE,,il_chart_template
il_account_111650,111650,Advances,account.data_account_type_current_liabilities,TRUE,,il_chart_template
il_account_111660,111660,OtherPayable,account.data_account_type_current_liabilities,TRUE,,il_chart_template
il_account_111700,111700,IncomeTax,account.data_account_type_current_liabilities,TRUE,,il_chart_template
il_account_111710,111710,NationalInsurance,account.data_account_type_current_liabilities,TRUE,,il_chart_template
il_account_111720,111720,VATdue,account.data_account_type_current_liabilities,TRUE,,il_chart_template
il_account_111730,111730,DeferredTaxes,account.data_account_type_current_liabilities,FALSE,,il_chart_template
il_account_112000,112000,Non-currentLiabilities,account.data_account_type_non_current_liabilities,FALSE,,il_chart_template
il_account_112100,112100,LongTermloans,account.data_account_type_non_current_liabilities,FALSE,,il_chart_template
il_account_112150,112150,Provisions,account.data_account_type_non_current_liabilities,FALSE,,il_chart_template
il_account_200000,200000,ProductSales,account.data_account_type_revenue,FALSE,account.account_tag_operating,il_chart_template
il_account_200100,200100,ServicesSales,account.data_account_type_revenue,FALSE,account.account_tag_operating,il_chart_template
il_account_200200,200200,OtherIncome,account.data_account_type_other_income,FALSE,account.account_tag_operating,il_chart_template
il_account_200300,200300,InterestIncome,account.data_account_type_other_income,FALSE,account.account_tag_operating,il_chart_template
il_account_201000,201000,ForeignExchangeGain,account.data_account_type_other_income,FALSE,account.account_tag_financing,il_chart_template
il_account_202000,202000,OtherExpenses,account.data_account_type_expenses,FALSE,account.account_tag_operating,il_chart_template
il_account_202100,202100,ForeignExchangeLoss,account.data_account_type_expenses,FALSE,account.account_tag_financing,il_chart_template
il_account_202200,202200,InterestExpenses,account.data_account_type_expenses,FALSE,account.account_tag_financing,il_chart_template
il_account_202300,202300,Donations,account.data_account_type_expenses,FALSE,,il_chart_template
il_account_202400,202400,Fines,account.data_account_type_expenses,FALSE,,il_chart_template
il_account_210000,210000,CostofGoodsSold,account.data_account_type_direct_costs,FALSE,account.account_tag_operating,il_chart_template
il_account_211000,211000,CostofServicesSold,account.data_account_type_direct_costs,FALSE,account.account_tag_operating,il_chart_template
il_account_212000,212000,Customerdiscounts,account.data_account_type_expenses,FALSE,account.account_tag_operating,il_chart_template
il_account_212100,212100,SalaryExpenses,account.data_account_type_expenses,FALSE,account.account_tag_operating,il_chart_template
il_account_212200,212200,PurchaseofEquipments,account.data_account_type_expenses,FALSE,account.account_tag_investing,il_chart_template
il_account_212300,212300,BankFees,account.data_account_type_expenses,FALSE,account.account_tag_financing,il_chart_template
il_account_213000,213000,Customerreturns,account.data_account_type_direct_costs,FALSE,account.account_tag_operating,il_chart_template
il_account_214000,214000,Vendorreturns,account.data_account_type_direct_costs,FALSE,account.account_tag_operating,il_chart_template
il_account_215000,215000,Vendordiscounts,account.data_account_type_direct_costs,FALSE,account.account_tag_operating,il_chart_template
il_account_216000,216000,Good'sShrinkage,account.data_account_type_direct_costs,FALSE,account.account_tag_operating,il_chart_template
il_account_217000,217000,Lostgoods,account.data_account_type_direct_costs,FALSE,account.account_tag_operating,il_chart_template
il_account_220000,220000,G&AExpenses,account.data_account_type_expenses,FALSE,account.account_tag_operating,il_chart_template
il_account_220100,220100,RentExpenses,account.data_account_type_expenses,FALSE,account.account_tag_operating,il_chart_template
il_account_220200,220200,Communicationexpenses,account.data_account_type_expenses,FALSE,account.account_tag_operating,il_chart_template
il_account_220300,220300,Transportationexpenses,account.data_account_type_expenses,FALSE,account.account_tag_operating,il_chart_template
il_account_220400,220400,Depretiationexpenses,account.data_account_type_expenses,FALSE,account.account_tag_operating,il_chart_template
il_account_220500,220500,Creditprovisionexpenses,account.data_account_type_expenses,FALSE,account.account_tag_operating,il_chart_template
il_account_220600,220600,Salesandmarketingexpenses,account.data_account_type_expenses,FALSE,account.account_tag_operating,il_chart_template
il_account_220700,220700,Othernon-operatingexpenses,account.data_account_type_expenses,FALSE,account.account_tag_operating,il_chart_template
il_account_220800,220800,Baddebtsexpense,account.data_account_type_expenses,FALSE,account.account_tag_operating,il_chart_template
il_account_300100,300100,Capital,account.data_account_type_equity,FALSE,,il_chart_template
il_account_300110,300110,OrdinaryShares,account.data_account_type_equity,FALSE,,il_chart_template
il_account_300120,300120,PreferredShares,account.data_account_type_equity,FALSE,,il_chart_template
il_account_300130,300130,SharesPremium,account.data_account_type_equity,FALSE,,il_chart_template
il_account_300200,300200,Dividends,account.data_account_type_equity,FALSE,account_tag_dividend_account,il_chart_template
il_account_300270,300270,currentyearearnings,account.data_unaffected_earnings,FALSE,,il_chart_template
