id,chart_template_id:id,code,name,user_type_id:id,reconcile
nz_11110,l10n_nz.l10n_nz_chart_template,11110,BankAccount,account.data_account_type_liquidity,FALSE
nz_11130,l10n_nz.l10n_nz_chart_template,11130,PettyCash,account.data_account_type_liquidity,FALSE
nz_11140,l10n_nz.l10n_nz_chart_template,11140,CashDrawer,account.data_account_type_liquidity,FALSE
nz_11180,l10n_nz.l10n_nz_chart_template,11180,UndepositedFunds,account.data_account_type_current_assets,TRUE
nz_11190,l10n_nz.l10n_nz_chart_template,11190,ElectronicClearingAccount,account.data_account_type_current_assets,TRUE
nz_11200,l10n_nz.l10n_nz_chart_template,11200,TradeDebtors,account.data_account_type_receivable,TRUE
nz_11210,l10n_nz.l10n_nz_chart_template,11210,LessProv'nforDoubtfulDebts,account.data_account_type_current_assets,FALSE
nz_11220,l10n_nz.l10n_nz_chart_template,11220,TradeDebtors(PoS),account.data_account_type_receivable,TRUE
nz_11310,l10n_nz.l10n_nz_chart_template,11310,RawMaterials,account.data_account_type_current_assets,FALSE
nz_11320,l10n_nz.l10n_nz_chart_template,11320,FinishedGoods,account.data_account_type_current_assets,FALSE
nz_11330,l10n_nz.l10n_nz_chart_template,11330,TradingStockonHand,account.data_account_type_current_assets,FALSE
nz_12100,l10n_nz.l10n_nz_chart_template,12100,DepositsPaid,account.data_account_type_prepayments,FALSE
nz_12200,l10n_nz.l10n_nz_chart_template,12200,PrepaidInsurance,account.data_account_type_current_assets,FALSE
nz_13110,l10n_nz.l10n_nz_chart_template,13110,ManufacturingPlantatCost,account.data_account_type_fixed_assets,FALSE
nz_13120,l10n_nz.l10n_nz_chart_template,13120,Manufac.PlantAccumDep,account.data_account_type_fixed_assets,FALSE
nz_13130,l10n_nz.l10n_nz_chart_template,13130,ManufacturingEquipmentCost,account.data_account_type_fixed_assets,FALSE
nz_13140,l10n_nz.l10n_nz_chart_template,13140,Manufac.EquipAccumDep,account.data_account_type_fixed_assets,FALSE
nz_13210,l10n_nz.l10n_nz_chart_template,13210,Furniture&FixturesatCost,account.data_account_type_fixed_assets,FALSE
nz_13220,l10n_nz.l10n_nz_chart_template,13220,Furniture&FixturesAccumDep,account.data_account_type_fixed_assets,FALSE
nz_13310,l10n_nz.l10n_nz_chart_template,13310,OfficeEquipatCost,account.data_account_type_fixed_assets,FALSE
nz_13320,l10n_nz.l10n_nz_chart_template,13320,OfficeEquipAccumDep,account.data_account_type_fixed_assets,FALSE
nz_13410,l10n_nz.l10n_nz_chart_template,13410,MotorVehiclesatCost,account.data_account_type_fixed_assets,FALSE
nz_13420,l10n_nz.l10n_nz_chart_template,13420,MotorVehiclesAccumDep,account.data_account_type_fixed_assets,FALSE
nz_21110,l10n_nz.l10n_nz_chart_template,21110,CreditCard,account.data_account_type_current_liabilities,FALSE
nz_21200,l10n_nz.l10n_nz_chart_template,21200,TradeCreditors,account.data_account_type_payable,TRUE
nz_21210,l10n_nz.l10n_nz_chart_template,21210,A/PAccrual-Inventory,account.data_account_type_current_liabilities,FALSE
nz_21310,l10n_nz.l10n_nz_chart_template,21310,GSTCollected,account.data_account_type_current_liabilities,FALSE
nz_21330,l10n_nz.l10n_nz_chart_template,21330,GSTPaid,account.data_account_type_current_assets,FALSE
nz_21350,l10n_nz.l10n_nz_chart_template,21350,FuelTaxCreditsAccrued,account.data_account_type_current_liabilities,FALSE
nz_21360,l10n_nz.l10n_nz_chart_template,21360,ImportDutyPayable,account.data_account_type_current_liabilities,FALSE
nz_21370,l10n_nz.l10n_nz_chart_template,21370,VoluntaryWithholdingsPayable,account.data_account_type_current_liabilities,FALSE
nz_21380,l10n_nz.l10n_nz_chart_template,21380,TaxWithholdingsPayable,account.data_account_type_current_liabilities,FALSE
nz_21410,l10n_nz.l10n_nz_chart_template,21410,PayrollAccrualsPayable,account.data_account_type_current_liabilities,FALSE
nz_21420,l10n_nz.l10n_nz_chart_template,21420,PAYGWithholdingPayable,account.data_account_type_current_liabilities,FALSE
nz_21600,l10n_nz.l10n_nz_chart_template,21600,CustomerDeposits,account.data_account_type_current_liabilities,FALSE
nz_21700,l10n_nz.l10n_nz_chart_template,21700,OtherCurrentLiabilities,account.data_account_type_current_liabilities,FALSE
nz_22100,l10n_nz.l10n_nz_chart_template,22100,MortgagesPayable,account.data_account_type_non_current_liabilities,FALSE
nz_22200,l10n_nz.l10n_nz_chart_template,22200,NotesPayable,account.data_account_type_non_current_liabilities,FALSE
nz_22300,l10n_nz.l10n_nz_chart_template,22300,OtherLongTermLiabilities,account.data_account_type_non_current_liabilities,FALSE
nz_31100,l10n_nz.l10n_nz_chart_template,31100,CapitalInvestment,account.data_account_type_equity,FALSE
nz_31200,l10n_nz.l10n_nz_chart_template,31200,CapitalDrawings,account.data_account_type_equity,FALSE
nz_38000,l10n_nz.l10n_nz_chart_template,38000,RetainedEarnings,account.data_account_type_equity,FALSE
nz_39000,l10n_nz.l10n_nz_chart_template,39000,CurrentYearEarnings,account.data_unaffected_earnings,FALSE
nz_39999,l10n_nz.l10n_nz_chart_template,39999,HistoricalBalancing,account.data_account_type_equity,FALSE
nz_41110,l10n_nz.l10n_nz_chart_template,41110,SalesProduct#1,account.data_account_type_revenue,FALSE
nz_41120,l10n_nz.l10n_nz_chart_template,41120,SalesProduct#2,account.data_account_type_revenue,FALSE
nz_41130,l10n_nz.l10n_nz_chart_template,41130,SalesProduct#3,account.data_account_type_revenue,FALSE
nz_42000,l10n_nz.l10n_nz_chart_template,42000,WholesaleSales,account.data_account_type_revenue,FALSE
nz_43000,l10n_nz.l10n_nz_chart_template,43000,ConsignmentSales,account.data_account_type_revenue,FALSE
nz_44000,l10n_nz.l10n_nz_chart_template,44000,FreightIncome,account.data_account_type_revenue,FALSE
nz_45000,l10n_nz.l10n_nz_chart_template,45000,LateFeesCollected,account.data_account_type_other_income,FALSE
nz_46000,l10n_nz.l10n_nz_chart_template,46000,MiscellaneousIncome,account.data_account_type_other_income,FALSE
nz_47000,l10n_nz.l10n_nz_chart_template,47000,FuelTaxCredits,account.data_account_type_other_income,FALSE
nz_51110,l10n_nz.l10n_nz_chart_template,51110,CostofGoodsSold#1,account.data_account_type_direct_costs,FALSE
nz_51120,l10n_nz.l10n_nz_chart_template,51120,CostofGoodsSold#2,account.data_account_type_direct_costs,FALSE
nz_51130,l10n_nz.l10n_nz_chart_template,51130,CostofGoodsSold#3,account.data_account_type_direct_costs,FALSE
nz_52000,l10n_nz.l10n_nz_chart_template,52000,WholesaleCostofSales,account.data_account_type_direct_costs,FALSE
nz_53000,l10n_nz.l10n_nz_chart_template,53000,ConsignmentCostofSales,account.data_account_type_direct_costs,FALSE
nz_54000,l10n_nz.l10n_nz_chart_template,54000,WagesforProductionLabour,account.data_account_type_direct_costs,FALSE
nz_55000,l10n_nz.l10n_nz_chart_template,55000,Materials&Supplies,account.data_account_type_direct_costs,FALSE
nz_56000,l10n_nz.l10n_nz_chart_template,56000,Freight,account.data_account_type_direct_costs,FALSE
nz_57000,l10n_nz.l10n_nz_chart_template,57000,OtherCosts,account.data_account_type_direct_costs,FALSE
nz_61000,l10n_nz.l10n_nz_chart_template,61000,Advertising,account.data_account_type_expenses,FALSE
nz_61200,l10n_nz.l10n_nz_chart_template,61200,Car&TruckExpenses,account.data_account_type_expenses,FALSE
nz_61300,l10n_nz.l10n_nz_chart_template,61300,CommissionsPaid,account.data_account_type_expenses,FALSE
nz_61500,l10n_nz.l10n_nz_chart_template,61500,DepreciationExpense,account.data_account_type_depreciation,FALSE
nz_61610,l10n_nz.l10n_nz_chart_template,61610,DiscountsGiven,account.data_account_type_expenses,FALSE
nz_61620,l10n_nz.l10n_nz_chart_template,61620,DiscountsTaken,account.data_account_type_expenses,FALSE
nz_61630,l10n_nz.l10n_nz_chart_template,61630,ExchangeRateLosses(Gains),account.data_account_type_expenses,FALSE
nz_61700,l10n_nz.l10n_nz_chart_template,61700,FreightPaid,account.data_account_type_expenses,FALSE
nz_61800,l10n_nz.l10n_nz_chart_template,61800,Insurance,account.data_account_type_expenses,FALSE
nz_61910,l10n_nz.l10n_nz_chart_template,61910,OverdraftInterest,account.data_account_type_expenses,FALSE
nz_61920,l10n_nz.l10n_nz_chart_template,61920,MortgageInterest,account.data_account_type_expenses,FALSE
nz_61930,l10n_nz.l10n_nz_chart_template,61930,OtherInterest,account.data_account_type_expenses,FALSE
nz_62000,l10n_nz.l10n_nz_chart_template,62000,LateFeesPaid,account.data_account_type_expenses,FALSE
nz_62110,l10n_nz.l10n_nz_chart_template,62110,Machinery&Equipment,account.data_account_type_expenses,FALSE
nz_62120,l10n_nz.l10n_nz_chart_template,62120,OtherBusinessProperty,account.data_account_type_expenses,FALSE
nz_62200,l10n_nz.l10n_nz_chart_template,62200,Legal&ProfessionalServices,account.data_account_type_expenses,FALSE
nz_62300,l10n_nz.l10n_nz_chart_template,62300,OfficeExpenses,account.data_account_type_expenses,FALSE
nz_62410,l10n_nz.l10n_nz_chart_template,62410,StaffAmenities,account.data_account_type_expenses,FALSE
nz_62420,l10n_nz.l10n_nz_chart_template,62420,Superannuation,account.data_account_type_expenses,FALSE
nz_62430,l10n_nz.l10n_nz_chart_template,62430,Wages&Salaries,account.data_account_type_expenses,FALSE
nz_62440,l10n_nz.l10n_nz_chart_template,62440,Workers'Compensation,account.data_account_type_expenses,FALSE
nz_62450,l10n_nz.l10n_nz_chart_template,62450,OtherEmployerExpenses,account.data_account_type_expenses,FALSE
nz_62500,l10n_nz.l10n_nz_chart_template,62500,Repairs,account.data_account_type_expenses,FALSE
nz_62550,l10n_nz.l10n_nz_chart_template,62550,Shrinkage/Spoilage,account.data_account_type_expenses,FALSE
nz_62600,l10n_nz.l10n_nz_chart_template,62600,Supplies,account.data_account_type_expenses,FALSE
nz_62700,l10n_nz.l10n_nz_chart_template,62700,Taxes,account.data_account_type_expenses,FALSE
nz_62800,l10n_nz.l10n_nz_chart_template,62800,Telephone,account.data_account_type_expenses,FALSE
nz_62910,l10n_nz.l10n_nz_chart_template,62910,Gas,account.data_account_type_expenses,FALSE
nz_62920,l10n_nz.l10n_nz_chart_template,62920,Electricity,account.data_account_type_expenses,FALSE
nz_62930,l10n_nz.l10n_nz_chart_template,62930,Water,account.data_account_type_expenses,FALSE
nz_63110,l10n_nz.l10n_nz_chart_template,63110,Travel,account.data_account_type_expenses,FALSE
nz_63120,l10n_nz.l10n_nz_chart_template,63120,Meals&Entertainment,account.data_account_type_expenses,FALSE
nz_81000,l10n_nz.l10n_nz_chart_template,81000,InterestIncome,account.data_account_type_other_income,FALSE
nz_91000,l10n_nz.l10n_nz_chart_template,91000,InterestExpense,account.data_account_type_expenses,FALSE
nz_92000,l10n_nz.l10n_nz_chart_template,92000,IncomeTaxExpense,account.data_account_type_expenses,FALSE