id,code,name,user_type_id:id,chart_template_id:id,reconcile
account_receivable,12001,AccountReceivable,account.data_account_type_receivable,account_arabic_coa_general,True
account_receivable_pos,12002,AccountReceivable(PoS),account.data_account_type_receivable,account_arabic_coa_general,True
15000_furniture_equipments,15000,FurnitureandEquipment,account.data_account_type_fixed_assets,account_arabic_coa_general,False
17000_accu_deprec,17000,AccumulatedDepreciation,account.data_account_type_fixed_assets,account_arabic_coa_general,False
account_payable,20001,AccountPayable,account.data_account_type_payable,account_arabic_coa_general,True
24000_payroll_exp,24000,PayrollLiabilities,account.data_account_type_current_liabilities,account_arabic_coa_general,False
25500_sales_tax_pay,25500,SalesTaxPayable,account.data_account_type_current_liabilities,account_arabic_coa_general,False
26500_use_tax_pay,26500,UseTaxPayable,account.data_account_type_current_liabilities,account_arabic_coa_general,False
30100_capital_stock,30100,CapitalStock,account.data_account_type_equity,account_arabic_coa_general,False
30200_divid_paid,30200,DividendsPaid,account.data_account_type_equity,account_arabic_coa_general,False
30000_open_balance,30000,OpeningBalanceEquity,account.data_account_type_equity,account_arabic_coa_general,False
32000_retain_earn,32000,RetainedEarnings,account.data_account_type_equity,account_arabic_coa_general,False
60000_advert_promo,60000,AdvertisingandPromotion,account.data_account_type_expenses,account_arabic_coa_general,False
60200_auto_exp,60200,AutomobileExpense,account.data_account_type_expenses,account_arabic_coa_general,False
60400_bank_charge,60400,BankServiceCharges,account.data_account_type_expenses,account_arabic_coa_general,False
61000_license_permit,61000,BusinessLicensesandPermits,account.data_account_type_expenses,account_arabic_coa_general,False
62000_financial_services,62000,ContinuingEducation,account.data_account_type_expenses,account_arabic_coa_general,False
61400_charit_contrib,61400,CharitableContributions,account.data_account_type_expenses,account_arabic_coa_general,False
61700_computer_internet,61700,ComputerandInternetExpenses,account.data_account_type_expenses,account_arabic_coa_general,False
62400_depreciation_exp,62400,DepreciationExpense,account.data_account_type_expenses,account_arabic_coa_general,False
62500_dues_subscrip,62500,DuesandSubscriptions,account.data_account_type_expenses,account_arabic_coa_general,False
62600_equip_rent,62600,EquipmentRental,account.data_account_type_expenses,account_arabic_coa_general,False
63400_interest_exp,63400,InterestExpense,account.data_account_type_expenses,account_arabic_coa_general,False
64300_meals_entertain,64300,MealsandEntertainment,account.data_account_type_expenses,account_arabic_coa_general,False
64900_office_supp,64900,OfficeSupplies,account.data_account_type_expenses,account_arabic_coa_general,False
66000_payroll_exp,66000,PayrollExpenses,account.data_account_type_expenses,account_arabic_coa_general,False
66500_postage_deliver,66500,PostageandDelivery,account.data_account_type_expenses,account_arabic_coa_general,False
66660_printing_reporduction,66600,PrintingandReproduction,account.data_account_type_expenses,account_arabic_coa_general,False
66700_prof_fees,66700,ProfessionalFees,account.data_account_type_expenses,account_arabic_coa_general,False
67100_rent_exp,67100,RentExpense,account.data_account_type_expenses,account_arabic_coa_general,False
67200_repair_mainten,67200,RepairsandMaintenance,account.data_account_type_expenses,account_arabic_coa_general,False
68000_tax_property,68000,Taxes-Property,account.data_account_type_expenses,account_arabic_coa_general,False
68100_telephone_exp,68100,TelephoneExpense,account.data_account_type_expenses,account_arabic_coa_general,False
68400_transport_travel,68400,TravelExpense,account.data_account_type_expenses,account_arabic_coa_general,False
68600_utilities,68600,Utilities,account.data_account_type_expenses,account_arabic_coa_general,False
64200_marketing_exp,64200,MarketingExpense,account.data_account_type_expenses,account_arabic_coa_general,False
63200_gas_oil_exp,63200,"Gasoline,FuelandOil",account.data_account_type_expenses,account_arabic_coa_general,False
base_miscexpense,69000,MiscellaneousExpense,account.data_account_type_expenses,account_arabic_coa_general,False
69310_general_liab_insurance,69310,GeneralLiabilityInsurance,account.data_account_type_expenses,account_arabic_coa_general,False
69320_health_insurance,69320,HealthInsurance,account.data_account_type_expenses,account_arabic_coa_general,False
69330_life_insurance,69330,LifeandDisabilityInsurance,account.data_account_type_expenses,account_arabic_coa_general,False
69350_prof_insurance,69350,ProfessionalLiability,account.data_account_type_expenses,account_arabic_coa_general,False
69360_worker_compons,69360,Worker'sCompensation,account.data_account_type_expenses,account_arabic_coa_general,False
42400_commission_income,42400,Commissionincome,account.data_account_type_revenue,account_arabic_coa_general,False
47400_rent_income,47400,RentIncome,account.data_account_type_revenue,account_arabic_coa_general,False
47900_general_service_sales,47900,ServiceSales,account.data_account_type_revenue,account_arabic_coa_general,False
47910_general_product_sales,47910,ProductSales,account.data_account_type_revenue,account_arabic_coa_general,False
48310_product_sales_discount,48310,SalesDiscounts,account.data_account_type_revenue,account_arabic_coa_general,False
48900_product_shipping_income,48900,ShippingandDeliveryIncome,account.data_account_type_revenue,account_arabic_coa_general,False
base_miscincome,49000,MiscellaneousIncome,account.data_account_type_revenue,account_arabic_coa_general,False
70000_finance_income,70000,FinanceChargeIncome,account.data_account_type_other_income,account_arabic_coa_general,False
70200_interest_income,70200,InterestIncome,account.data_account_type_other_income,account_arabic_coa_general,False
70500_assets_sold,70500,ProceedsfromSaleofAssets,account.data_account_type_other_income,account_arabic_coa_general,False
70100_insurance_income,70100,InsuranceProceedsReceived,account.data_account_type_other_income,account_arabic_coa_general,False
53600_other_related_costs,53600,OtherJobRelatedCosts,account.data_account_type_direct_costs,account_arabic_coa_general,False
51100_product_shipping_cost,51100,FreightandShippingCosts,account.data_account_type_direct_costs,account_arabic_coa_general,False
52500_product_purchase_discount,52500,PurchaseDiscounts,account.data_account_type_direct_costs,account_arabic_coa_general,False
52900_general_product_cost,52900,Purchases-ResaleItems,account.data_account_type_direct_costs,account_arabic_coa_general,False
50300_commissions_paid,50300,CommissionsPaid,account.data_account_type_direct_costs,account_arabic_coa_general,False
53500_subcontracted_services,53500,SubcontractorsExpense,account.data_account_type_direct_costs,account_arabic_coa_general,False
52000_merchant_fees,52000,MerchantAccountFees,account.data_account_type_direct_costs,account_arabic_coa_general,False
53800_subcontract_exp,53800,SubcontractorsExpense,account.data_account_type_direct_costs,account_arabic_coa_general,False
54100_tools_equip,54100,ToolsandSmallEquipment,account.data_account_type_direct_costs,account_arabic_coa_general,False
24600_customer_deposit,24600,CustomerDepositsReceived,account.data_account_type_current_liabilities,account_arabic_coa_general,False
