"id","code","name","user_type_id/id","chart_template_id/id","reconcile"
"a1030","1030","Patent","account.data_account_type_non_current_assets","l10nse_chart_template","False"
"a1039","1039","Ackumuleradeavskrivningarpåpatent","account.data_account_type_non_current_assets","l10nse_chart_template","False"
"a1060","1060","Hyresrätter,tomträtterochliknande","account.data_account_type_non_current_assets","l10nse_chart_template","False"
"a1069","1069","Ackumuleradeavskrivningarpåhyresrätter,tomträtterochliknande","account.data_account_type_non_current_assets","l10nse_chart_template","False"
"a1110","1110","Byggnaderpåegenmark","account.data_account_type_fixed_assets","l10nse_chart_template","False"
"a1119","1119","Ackumuleradeavskrivningarpåbyggnader","account.data_account_type_fixed_assets","l10nse_chart_template","False"
"a1130","1130","Mark","account.data_account_type_fixed_assets","l10nse_chart_template","False"
"a1150","1150","Markanläggningar","account.data_account_type_fixed_assets","l10nse_chart_template","False"
"a1159","1159","Ackumuleradeavskrivningarpåmarkanläggningar","account.data_account_type_fixed_assets","l10nse_chart_template","False"
"a1210","1210","Maskinerochandratekniskaanläggningar","account.data_account_type_fixed_assets","l10nse_chart_template","False"
"a1219","1219","Ackumuleradeavskrivningarpåmaskinerochandratekniskaanläggningar","account.data_account_type_fixed_assets","l10nse_chart_template","False"
"a1220","1220","Inventarierochverktyg","account.data_account_type_fixed_assets","l10nse_chart_template","False"
"a1229","1229","Ackumuleradeavskrivningarpåinventarierochverktyg","account.data_account_type_fixed_assets","l10nse_chart_template","False"
"a1240","1240","Bilarochandratransportmedel","account.data_account_type_fixed_assets","l10nse_chart_template","False"
"a1249","1249","Ackumuleradeavskrivningarpåbilarochandratransportmedel","account.data_account_type_fixed_assets","l10nse_chart_template","False"
"a1250","1250","Datorer","account.data_account_type_fixed_assets","l10nse_chart_template","False"
"a1259","1259","Ackumuleradeavskrivningarpådatorer","account.data_account_type_fixed_assets","l10nse_chart_template","False"
"a1290","1290","Övrigamateriellaanläggningstillgångar","account.data_account_type_fixed_assets","l10nse_chart_template","False"
"a1291","1291","Konstochliknandetillgångar","account.data_account_type_fixed_assets","l10nse_chart_template","False"
"a1299","1299","Ackumuleradeavskrivningarpåövrigamateriellaanläggningstillgångar","account.data_account_type_fixed_assets","l10nse_chart_template","False"
"a1350","1350","Andelarochvärdepapperiandraföretag","account.data_account_type_non_current_assets","l10nse_chart_template","False"
"a1380","1380","Andralångfristigafordringar","account.data_account_type_non_current_assets","l10nse_chart_template","False"
"a1410","1410","Lageravråvaror","account.data_account_type_current_assets","l10nse_chart_template","False"
"a1419","1419","Förändringavlageravråvaror","account.data_account_type_current_assets","l10nse_chart_template","False"
"a1440","1440","Produkteriarbete","account.data_account_type_current_assets","l10nse_chart_template","False"
"a1449","1449","Förändringavprodukteriarbete","account.data_account_type_current_assets","l10nse_chart_template","False"
"a1450","1450","Lageravfärdigavaror","account.data_account_type_current_assets","l10nse_chart_template","False"
"a1459","1459","Förändringavlageravfärdigavaror","account.data_account_type_current_assets","l10nse_chart_template","False"
"a1460","1460","Lageravhandelsvaror","account.data_account_type_current_assets","l10nse_chart_template","False"
"a1469","1469","Förändringavlageravhandelsvaror","account.data_account_type_current_assets","l10nse_chart_template","False"
"a1470","1470","Pågåendearbete","account.data_account_type_current_assets","l10nse_chart_template","False"
"a1479","1479","FörändringavPågåendearbete","account.data_account_type_current_assets","l10nse_chart_template","False"
"a1480","1480","Förskottförvarorochtjänster","account.data_account_type_prepayments","l10nse_chart_template","False"
"a1490","1490","Övrigalagertillgångar","account.data_account_type_prepayments","l10nse_chart_template","False"
"a1510","1510","Kundfordringar","account.data_account_type_receivable","l10nse_chart_template","True"
"a1513","1513","Kundfordringar-deladfaktura","account.data_account_type_receivable","l10nse_chart_template","True"
"a1519","1519","Nedskrivningavkundfordringar","account.data_account_type_receivable","l10nse_chart_template","True"
"a1580","1580","Fordringarförkontokortochkuponger","account.data_account_type_receivable","l10nse_chart_template","True"
"a1610","1610","Kortfristigafordringarhosanställda","account.data_account_type_receivable","l10nse_chart_template","True"
"a1630","1630","Avräkningförskatterochavgifter(skattekonto)","account.data_account_type_current_assets","l10nse_chart_template","False"
"a1640","1640","Skattefordringar","account.data_account_type_current_assets","l10nse_chart_template","False"
"a1650","1650","Momsfordran","account.data_account_type_current_assets","l10nse_chart_template","False"
"a1680","1680","Andrakortfristigafordringar","account.data_account_type_current_assets","l10nse_chart_template","False"
"a1710","1710","Förutbetaldahyreskostnader","account.data_account_type_prepayments","l10nse_chart_template","False"
"a1720","1720","Förutbetaldaleasingavgifter,kortfristigdel","account.data_account_type_prepayments","l10nse_chart_template","False"
"a1730","1730","Förutbetaldaförsäkringspremier","account.data_account_type_prepayments","l10nse_chart_template","False"
"a1740","1740","Förutbetaldaräntekostnader","account.data_account_type_prepayments","l10nse_chart_template","False"
"a1750","1750","Upplupnahyresintäkter","account.data_account_type_current_assets","l10nse_chart_template","False"
"a1760","1760","Upplupnaränteintäkter","account.data_account_type_current_assets","l10nse_chart_template","False"
"a1790","1790","Övrigaförutbetaldakostnaderochupplupnaintäkter","account.data_account_type_current_assets","l10nse_chart_template","False"
"a1810","1810","Andelibörsnoteradeföretag","account.data_account_type_current_assets","l10nse_chart_template","False"
"a1880","1880","Andrakortfristigaplaceringar","account.data_account_type_current_assets","l10nse_chart_template","False"
"a1890","1890","Nedskrivningavkortfristigaplacceringar","account.data_account_type_current_assets","l10nse_chart_template","False"
"a1910","1910","Kassa","account.data_account_type_liquidity","l10nse_chart_template","False"
"a1920","1920","PlusGiro","account.data_account_type_liquidity","l10nse_chart_template","False"
"a1930","1930","Företagskonto/checkkonto/affärskonto","account.data_account_type_liquidity","l10nse_chart_template","True"
"a1940","1940","Övrigabankkonton","account.data_account_type_liquidity","l10nse_chart_template","False"
"a2070","2070","Ändamålsbestämdamedel","account.data_account_type_equity","l10nse_chart_template","False"
"a2081","2081","Aktiekapital","account.data_account_type_equity","l10nse_chart_template","False"
"a2083","2083","Medlemsinsatser","account.data_account_type_equity","l10nse_chart_template","False"
"a2086","2086","Reservfond","account.data_account_type_equity","l10nse_chart_template","False"
"a2090","2090","Frittegetkapital","account.data_account_type_equity","l10nse_chart_template","False"
"a2091","2091","Balanseradvinstellerförlust","account.data_account_type_equity","l10nse_chart_template","False"
"a2098","2098","Vinstellerförlustfrånföregåendeår","account.data_account_type_equity","l10nse_chart_template","False"
"a2099","2099","Åretsresultat","account.data_account_type_equity","l10nse_chart_template","False"
"a2120","2120","Periodiseringsfond2020","account.data_account_type_equity","l10nse_chart_template","False"
"a2121","2121","Periodiseringsfond2021","account.data_account_type_equity","l10nse_chart_template","False"
"a2122","2122","Periodiseringsfond2022","account.data_account_type_equity","l10nse_chart_template","False"
"a2123","2123","Periodiseringsfond2023","account.data_account_type_equity","l10nse_chart_template","False"
"a2124","2124","Periodiseringsfond2024","account.data_account_type_equity","l10nse_chart_template","False"
"a2125","2125","Periodiseringsfond2015","account.data_account_type_equity","l10nse_chart_template","False"
"a2126","2126","Periodiseringsfond2016","account.data_account_type_equity","l10nse_chart_template","False"
"a2127","2127","Periodiseringsfond2017","account.data_account_type_equity","l10nse_chart_template","False"
"a2128","2128","Periodiseringsfond2018","account.data_account_type_equity","l10nse_chart_template","False"
"a2129","2129","Periodiseringsfond2019","account.data_account_type_equity","l10nse_chart_template","False"
"a2150","2150","Ackumuleradeöveravskrivningar","account.data_account_type_non_current_liabilities","l10nse_chart_template","False"
"a2210","2210","Avsättningarförpensionerenligttryggandelagen","account.data_account_type_non_current_liabilities","l10nse_chart_template","False"
"a2220","2220","Avsättningarförgarantier","account.data_account_type_non_current_liabilities","l10nse_chart_template","False"
"a2290","2290","Övrigaavsättningar","account.data_account_type_non_current_liabilities","l10nse_chart_template","False"
"a2330","2330","Checkräkningskredit","account.data_account_type_non_current_liabilities","l10nse_chart_template","False"
"a2350","2350","Andralångfristigaskuldertillkreditinstitut","account.data_account_type_non_current_liabilities","l10nse_chart_template","False"
"a2390","2390","Övrigalångfristgaskulder","account.data_account_type_non_current_liabilities","l10nse_chart_template","False"
"a2393","2393","Lånfrånnärståendepersoner,långfristigdel","account.data_account_type_non_current_liabilities","l10nse_chart_template","False"
"a2410","2410","Andrakortfrigstigalåneskuldertillkreditinstitut","account.data_account_type_current_liabilities","l10nse_chart_template","False"
"a2420","2420","Förskottfrånkunder","account.data_account_type_current_liabilities","l10nse_chart_template","False"
"a2440","2440","Leverantörsskulder","account.data_account_type_payable","l10nse_chart_template","True"
"a2480","2480","Checkräkningskredit,kortfristig","account.data_account_type_payable","l10nse_chart_template","True"
"a2490","2490","Övrigakortfristigaskuldertillkreditinstitut,kunderochleverantörer","account.data_account_type_current_liabilities","l10nse_chart_template","False"
"a2510","2510","Skatteskulder","account.data_account_type_current_liabilities","l10nse_chart_template","False"
"a2610","2610","Utgåendemoms,25%","account.data_account_type_current_liabilities","l10nse_chart_template","False"
"a2611","2611","UtgåendemomspåförsäljninginomSverige,25%","account.data_account_type_current_liabilities","l10nse_chart_template","False"
"a2612","2612","Utgåendemomspåegnauttag,25%","account.data_account_type_current_liabilities","l10nse_chart_template","False"
"a2613","2613","Utgåendemomsföruthyrning,25%","account.data_account_type_current_liabilities","l10nse_chart_template","False"
"a2614","2614","Utgåendemomsomvändskattskyldighet,25%","account.data_account_type_current_liabilities","l10nse_chart_template","False"
"a2615","2615","Utgåendemomsimportavvaror,25%","account.data_account_type_current_liabilities","l10nse_chart_template","False"
"a2616","2616","UtgåendemomsVMB25 %","account.data_account_type_current_liabilities","l10nse_chart_template","False"
"a2620","2620","Utgåendemoms,12%","account.data_account_type_current_liabilities","l10nse_chart_template","False"
"a2621","2621","UtgåendemomspåförsäljninginomSverige,12%","account.data_account_type_current_liabilities","l10nse_chart_template","False"
"a2622","2622","Utgåendemomspåegnauttag,12%","account.data_account_type_current_liabilities","l10nse_chart_template","False"
"a2623","2623","Utgåendemomsföruthyrning,12%","account.data_account_type_current_liabilities","l10nse_chart_template","False"
"a2624","2624","Utgåendemomsomvändskattskyldighet,12%","account.data_account_type_current_liabilities","l10nse_chart_template","False"
"a2625","2625","Utgåendemomsimportavvaror,12%","account.data_account_type_current_liabilities","l10nse_chart_template","False"
"a2626","2626","UtgåendemomsVMB,12 %","account.data_account_type_current_liabilities","l10nse_chart_template","False"
"a2630","2630","Utgåendemoms,6%","account.data_account_type_current_liabilities","l10nse_chart_template","False"
"a2631","2631","UtgåendemomspåförsäljninginomSverige,6%","account.data_account_type_current_liabilities","l10nse_chart_template","False"
"a2632","2632","Utgåendemomspåegnauttag,6%","account.data_account_type_current_liabilities","l10nse_chart_template","False"
"a2633","2633","Utgåendemomsföruthyrning,6%","account.data_account_type_current_liabilities","l10nse_chart_template","False"
"a2634","2634","Utgåendemomsomvändskattskyldighet,6%","account.data_account_type_current_liabilities","l10nse_chart_template","False"
"a2635","2635","Utgåendemomsimportavvaror,6%","account.data_account_type_current_liabilities","l10nse_chart_template","False"
"a2636","2636","UtgåendemomsVMB6 %","account.data_account_type_current_liabilities","l10nse_chart_template","False"
"a2640","2640","Ingåendemoms","account.data_account_type_current_liabilities","l10nse_chart_template","False"
"a2641","2641","Debiteradingåendemoms","account.data_account_type_current_liabilities","l10nse_chart_template","False"
"a2642","2642","Debiteradingåendemomsianslutningtillfrivilligskattskyldighet","account.data_account_type_current_liabilities","l10nse_chart_template","False"
"a2645","2645","Beräknadingåendemomspåförvärvfrånutlandet","account.data_account_type_current_liabilities","l10nse_chart_template","False"
"a2646","2646","Ingåendemomspåuthyrning","account.data_account_type_current_liabilities","l10nse_chart_template","False"
"a2647","2647","IngåendemomsomvändskattskyldighetvarorochtjänsteriSverige","account.data_account_type_current_liabilities","l10nse_chart_template","False"
"a2648","2648","Vilandeingåendemoms","account.data_account_type_current_liabilities","l10nse_chart_template","False"
"a2649","2649","Ingåendemoms,blandadverksamhet","account.data_account_type_current_liabilities","l10nse_chart_template","False"
"a2650","2650","Redovisningskontoförmoms","account.data_account_type_current_liabilities","l10nse_chart_template","False"
"a2710","2710","Personalskatt","account.data_account_type_current_liabilities","l10nse_chart_template","False"
"a2730","2730","Lagstadgadesocialaavgifterochsärskildlöneskatt","account.data_account_type_current_liabilities","l10nse_chart_template","False"
"a2740","2740","Avtaladesocialaavgifter","account.data_account_type_current_liabilities","l10nse_chart_template","False"
"a2790","2790","Övrigalöneavdrag","account.data_account_type_current_liabilities","l10nse_chart_template","False"
"a2820","2820","Kortfristigaskuldertillanställda","account.data_account_type_payable","l10nse_chart_template","True"
"a2840","2840","Kortfristiglåneskulder","account.data_account_type_current_liabilities","l10nse_chart_template","False"
"a2890","2890","Övrigakortfristigaskulder","account.data_account_type_current_liabilities","l10nse_chart_template","False"
"a2910","2910","Upplupnalöner","account.data_account_type_current_liabilities","l10nse_chart_template","False"
"a2920","2920","Upplupnasemesterlöner","account.data_account_type_current_liabilities","l10nse_chart_template","False"
"a2930","2930","Upplupnapensionskostnader","account.data_account_type_current_liabilities","l10nse_chart_template","False"
"a2940","2940","Upplupnalagstadgadesocialaochandraavgifter","account.data_account_type_current_liabilities","l10nse_chart_template","False"
"a2950","2950","Upplupnaavtaladesocialaavgifter","account.data_account_type_current_liabilities","l10nse_chart_template","False"
"a2960","2960","Upplupnaräntekostnader","account.data_account_type_current_liabilities","l10nse_chart_template","False"
"a2970","2970","Förutbetaldaintäkter","account.data_account_type_current_liabilities","l10nse_chart_template","False"
"a2990","2990","Övrigaupplupnakostnaderochförutbetaldaintäkter","account.data_account_type_current_liabilities","l10nse_chart_template","False"
"a2999","2999","OBS-konto","account.data_account_type_current_liabilities","l10nse_chart_template","False"
"a3000","3000","FörsäljninginomSverige","account.data_account_type_revenue","l10nse_chart_template","False"
"a3001","3001","FörsäljninginomSverige,25%moms","account.data_account_type_revenue","l10nse_chart_template","False"
"a3002","3002","FörsäljninginomSverige,12%moms","account.data_account_type_revenue","l10nse_chart_template","False"
"a3003","3003","FörsäljninginomSverige,6%moms","account.data_account_type_revenue","l10nse_chart_template","False"
"a3004","3004","FörsäljninginomSverige,momsfri","account.data_account_type_revenue","l10nse_chart_template","False"
"a3100","3100","FörsäljningavvarorutanförEU","account.data_account_type_revenue","l10nse_chart_template","False"
"a3105","3105","FörsäljningvarortilllandutanförEU","account.data_account_type_revenue","l10nse_chart_template","False"
"a3106","3106","FörsäljningvarortillannatEU-land,momspliktig","account.data_account_type_revenue","l10nse_chart_template","False"
"a3108","3108","FörsäljningvarortillannatEU-land,momsfri","account.data_account_type_revenue","l10nse_chart_template","False"
"a3200","3200","FörsäljningVMBochomvändmoms","account.data_account_type_revenue","l10nse_chart_template","False"
"a3211","3211","FörsäljningpositivVMB25%","account.data_account_type_revenue","l10nse_chart_template","False"
"a3212","3212","FörsäljningnegativVMB25%","account.data_account_type_revenue","l10nse_chart_template","False"
"a3231","3231","Försäljninginombyggsektorn,omvändskatteskyldighetmoms","account.data_account_type_revenue","l10nse_chart_template","False"
"a3300","3300","FörsäljningavtjänsterutanförSverige","account.data_account_type_revenue","l10nse_chart_template","False"
"a3305","3305","FörsäljningavtjänstertilllandutanförEU","account.data_account_type_revenue","l10nse_chart_template","False"
"a3308","3308","FörsäljningavtjänstertillannatEU-land","account.data_account_type_revenue","l10nse_chart_template","False"
"a3400","3400","Försäljning,egnauttag","account.data_account_type_revenue","l10nse_chart_template","False"
"a3401","3401","Egnauttagmomspliktiga,25%","account.data_account_type_revenue","l10nse_chart_template","False"
"a3402","3402","Egnauttagmomspliktiga,12%","account.data_account_type_revenue","l10nse_chart_template","False"
"a3403","3403","Egnauttagmomspliktiga,6%","account.data_account_type_revenue","l10nse_chart_template","False"
"a3404","3404","Egnauttag,momsfria","account.data_account_type_revenue","l10nse_chart_template","False"
"a3500","3500","Faktureradekostnader(gruppkonto)","account.data_account_type_revenue","l10nse_chart_template","False"
"a3510","3510","FaktureratEmballage","account.data_account_type_revenue","l10nse_chart_template","False"
"a3520","3520","Faktureradefrakter","account.data_account_type_revenue","l10nse_chart_template","False"
"a3521","3521","Faktureradefrakter,EU-land","account.data_account_type_revenue","l10nse_chart_template","False"
